,ATC,ATC_info,ATC_hierarchy,used_in_diabetes,is_terminal_category,number_of_children
3378,J01GB09,Dibekacin,"['J01GB09', 'J01GB', 'J01G', 'J01', 'J']",False,1,1
3379,J01GB08,Sisomicin,"['J01GB08', 'J01GB', 'J01G', 'J01', 'J']",False,1,1
3380,J01GB07,Netilmicin,"['J01GB07', 'J01GB', 'J01G', 'J01', 'J']",False,1,1
3381,J01GB06,Amikacin,"['J01GB06', 'J01GB', 'J01G', 'J01', 'J']",False,1,1
3382,J01GB05,Neomycin,"['J01GB05', 'J01GB', 'J01G', 'J01', 'J']",False,1,1
3383,J01GB04,Kanamycin,"['J01GB04', 'J01GB', 'J01G', 'J01', 'J']",False,1,1
3384,J01GB03,Gentamicin,"['J01GB03', 'J01GB', 'J01G', 'J01', 'J']",False,1,1
3385,J01GB01,Tobramycin,"['J01GB01', 'J01GB', 'J01G', 'J01', 'J']",False,1,1
3386,J01GA,Streptomycins,"['J01GA', 'J01G', 'J01', 'J']",False,3,3
3387,J01GA02,Streptoduocin,"['J01GA02', 'J01GA', 'J01G', 'J01', 'J']",False,1,1
3388,J01GA01,Streptomycin,"['J01GA01', 'J01GA', 'J01G', 'J01', 'J']",False,1,1
3389,J01F,"Macrolides, lincosamides and streptogramins","['J01F', 'J01', 'J']",False,23,23
3390,J01FG,Streptogramins,"['J01FG', 'J01F', 'J01', 'J']",False,3,3
3391,J01FG02,Quinupristin/dalfopristin,"['J01FG02', 'J01FG', 'J01F', 'J01', 'J']",False,1,1
3392,J01FG01,Pristinamycin,"['J01FG01', 'J01FG', 'J01F', 'J01', 'J']",False,1,1
3393,J01FF,Lincosamides,"['J01FF', 'J01F', 'J01', 'J']",False,3,3
3394,J01FF02,Lincomycin,"['J01FF02', 'J01FF', 'J01F', 'J01', 'J']",False,1,1
3395,J01FF01,Clindamycin,"['J01FF01', 'J01FF', 'J01F', 'J01', 'J']",False,1,1
3396,J01FA,Macrolides,"['J01FA', 'J01F', 'J01', 'J']",False,16,16
3397,J01FA16,Solithromycin,"['J01FA16', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3398,J01FA15,Telithromycin,"['J01FA15', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3399,J01FA14,Flurithromycin,"['J01FA14', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3400,J01FA13,Dirithromycin,"['J01FA13', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3401,J01FA12,Rokitamycin,"['J01FA12', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3402,J01FA11,Miocamycin,"['J01FA11', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3403,J01FA10,Azithromycin,"['J01FA10', 'J01FA', 'J01F', 'J01', 'J']",True,1,1
3404,J01FA09,Clarithromycin,"['J01FA09', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3405,J01FA08,Troleandomycin,"['J01FA08', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3406,J01FA07,Josamycin,"['J01FA07', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3407,J01FA06,Roxithromycin,"['J01FA06', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3408,J01FA05,Oleandomycin,"['J01FA05', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3409,J01FA03,Midecamycin,"['J01FA03', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3410,J01FA02,Spiramycin,"['J01FA02', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3411,J01FA01,Erythromycin,"['J01FA01', 'J01FA', 'J01F', 'J01', 'J']",False,1,1
3412,J01E,Sulfonamides and trimethoprim,"['J01E', 'J01', 'J']",False,39,39
3413,J01EE,"Combinations of sulfonamides and trimethoprim, incl. derivatives","['J01EE', 'J01E', 'J01', 'J']",False,8,8
3414,J01EE07,Sulfamerazine and trimethoprim,"['J01EE07', 'J01EE', 'J01E', 'J01', 'J']",False,1,1
3415,J01EE06,Sulfadiazine and tetroxoprim,"['J01EE06', 'J01EE', 'J01E', 'J01', 'J']",False,1,1
3416,J01EE05,Sulfadimidine and trimethoprim,"['J01EE05', 'J01EE', 'J01E', 'J01', 'J']",False,1,1
3417,J01EE04,Sulfamoxole and trimethoprim,"['J01EE04', 'J01EE', 'J01E', 'J01', 'J']",False,1,1
3418,J01EE03,Sulfametrole and trimethoprim,"['J01EE03', 'J01EE', 'J01E', 'J01', 'J']",False,1,1
3419,J01EE02,Sulfadiazine and trimethoprim,"['J01EE02', 'J01EE', 'J01E', 'J01', 'J']",False,1,1
3420,J01EE01,Sulfamethoxazole and trimethoprim,"['J01EE01', 'J01EE', 'J01E', 'J01', 'J']",False,1,1
3421,J01ED,Long-acting sulfonamides,"['J01ED', 'J01E', 'J01', 'J']",False,11,11
3422,J01ED20,Combinations,"['J01ED20', 'J01ED', 'J01E', 'J01', 'J']",False,1,1
3423,J01ED09,Sulfamazone,"['J01ED09', 'J01ED', 'J01E', 'J01', 'J']",False,1,1
3424,J01ED08,Sulfaphenazole,"['J01ED08', 'J01ED', 'J01E', 'J01', 'J']",False,1,1
3425,J01ED07,Sulfamerazine,"['J01ED07', 'J01ED', 'J01E', 'J01', 'J']",False,1,1
3426,J01ED06,Sulfaperin,"['J01ED06', 'J01ED', 'J01E', 'J01', 'J']",False,1,1
3427,J01ED05,Sulfamethoxypyridazine,"['J01ED05', 'J01ED', 'J01E', 'J01', 'J']",False,1,1
3428,J01ED04,Sulfametoxydiazine,"['J01ED04', 'J01ED', 'J01E', 'J01', 'J']",False,1,1
3429,J01ED03,Sulfametomidine,"['J01ED03', 'J01ED', 'J01E', 'J01', 'J']",False,1,1
3430,J01ED02,Sulfalene,"['J01ED02', 'J01ED', 'J01E', 'J01', 'J']",False,1,1
3431,J01ED01,Sulfadimethoxine,"['J01ED01', 'J01ED', 'J01E', 'J01', 'J']",False,1,1
3432,J01EC,Intermediate-acting sulfonamides,"['J01EC', 'J01E', 'J01', 'J']",False,5,5
3433,J01EC20,Combinations,"['J01EC20', 'J01EC', 'J01E', 'J01', 'J']",False,1,1
3434,J01EC03,Sulfamoxole,"['J01EC03', 'J01EC', 'J01E', 'J01', 'J']",False,1,1
3435,J01EC02,Sulfadiazine,"['J01EC02', 'J01EC', 'J01E', 'J01', 'J']",False,1,1
3436,J01EC01,Sulfamethoxazole,"['J01EC01', 'J01EC', 'J01E', 'J01', 'J']",False,1,1
3437,J01EB,Short-acting sulfonamides,"['J01EB', 'J01E', 'J01', 'J']",False,10,10
3438,J01EB20,Combinations,"['J01EB20', 'J01EB', 'J01E', 'J01', 'J']",False,1,1
3439,J01EB08,Sulfathiourea,"['J01EB08', 'J01EB', 'J01E', 'J01', 'J']",False,1,1
3440,J01EB07,Sulfathiazole,"['J01EB07', 'J01EB', 'J01E', 'J01', 'J']",False,1,1
3441,J01EB06,Sulfanilamide,"['J01EB06', 'J01EB', 'J01E', 'J01', 'J']",False,1,1
3442,J01EB05,Sulfafurazole,"['J01EB05', 'J01EB', 'J01E', 'J01', 'J']",False,1,1
3443,J01EB04,Sulfapyridine,"['J01EB04', 'J01EB', 'J01E', 'J01', 'J']",False,1,1
3444,J01EB03,Sulfadimidine,"['J01EB03', 'J01EB', 'J01E', 'J01', 'J']",False,1,1
3445,J01EB02,Sulfamethizole,"['J01EB02', 'J01EB', 'J01E', 'J01', 'J']",False,1,1
3446,J01EB01,Sulfaisodimidine,"['J01EB01', 'J01EB', 'J01E', 'J01', 'J']",False,1,1
3447,J01EA,Trimethoprim and derivatives,"['J01EA', 'J01E', 'J01', 'J']",False,4,4
3448,J01EA03,Iclaprim,"['J01EA03', 'J01EA', 'J01E', 'J01', 'J']",False,1,1
3449,J01EA02,Brodimoprim,"['J01EA02', 'J01EA', 'J01E', 'J01', 'J']",False,1,1
3450,J01EA01,Trimethoprim,"['J01EA01', 'J01EA', 'J01E', 'J01', 'J']",False,1,1
3451,J01D,Other beta-lactam antibacterials,"['J01D', 'J01', 'J']",False,80,80
3452,J01DI,Other cephalosporins and penems,"['J01DI', 'J01D', 'J01', 'J']",False,6,6
3453,J01DI04,Cefiderocol,"['J01DI04', 'J01DI', 'J01D', 'J01', 'J']",False,1,1
3454,J01DI54,Ceftolozane and beta-lactamase inhibitor,"['J01DI54', 'J01DI', 'J01D', 'J01', 'J']",False,1,1
3455,J01DI03,Faropenem,"['J01DI03', 'J01DI', 'J01D', 'J01', 'J']",False,1,1
3456,J01DI02,Ceftaroline fosamil,"['J01DI02', 'J01DI', 'J01D', 'J01', 'J']",False,1,1
3457,J01DI01,Ceftobiprole medocaril,"['J01DI01', 'J01DI', 'J01D', 'J01', 'J']",False,1,1
3458,J01DH,Carbapenems,"['J01DH', 'J01D', 'J01', 'J']",False,10,10
3459,J01DH56,"Imipenem, cilastatin and relebactam","['J01DH56', 'J01DH', 'J01D', 'J01', 'J']",False,1,1
3460,J01DH52,Meropenem and vaborbactam,"['J01DH52', 'J01DH', 'J01D', 'J01', 'J']",False,1,1
3461,J01DH06,Tebipenem pivoxil,"['J01DH06', 'J01DH', 'J01D', 'J01', 'J']",False,1,1
3462,J01DH55,Panipenem and betamipron,"['J01DH55', 'J01DH', 'J01D', 'J01', 'J']",False,1,1
3463,J01DH51,Imipenem and cilastatin,"['J01DH51', 'J01DH', 'J01D', 'J01', 'J']",False,1,1
3464,J01DH05,Biapenem,"['J01DH05', 'J01DH', 'J01D', 'J01', 'J']",False,1,1
3465,J01DH04,Doripenem,"['J01DH04', 'J01DH', 'J01D', 'J01', 'J']",False,1,1
3466,J01DH03,Ertapenem,"['J01DH03', 'J01DH', 'J01D', 'J01', 'J']",False,1,1
3467,J01DH02,Meropenem,"['J01DH02', 'J01DH', 'J01D', 'J01', 'J']",False,1,1
3468,J01DF,Monobactams,"['J01DF', 'J01D', 'J01', 'J']",False,3,3
3469,J01DF02,Carumonam,"['J01DF02', 'J01DF', 'J01D', 'J01', 'J']",False,1,1
3470,J01DF01,Aztreonam,"['J01DF01', 'J01DF', 'J01D', 'J01', 'J']",False,1,1
3471,J01DE,Fourth-generation cephalosporins,"['J01DE', 'J01D', 'J01', 'J']",False,5,5
3472,J01DE51,Cefepime and beta-lactamase inhibitor,"['J01DE51', 'J01DE', 'J01D', 'J01', 'J']",False,1,1
3473,J01DE03,Cefozopran,"['J01DE03', 'J01DE', 'J01D', 'J01', 'J']",False,1,1
3474,J01DE02,Cefpirome,"['J01DE02', 'J01DE', 'J01D', 'J01', 'J']",False,1,1
3475,J01DE01,Cefepime,"['J01DE01', 'J01DE', 'J01D', 'J01', 'J']",False,1,1
3476,J01DD,Third-generation cephalosporins,"['J01DD', 'J01D', 'J01', 'J']",False,26,26
3477,J01DD58,Cefixime and beta-lactamase inhibitor,"['J01DD58', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3478,J01DD64,Cefpodoxime and beta-lactamase inhibitor,"['J01DD64', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3479,J01DD63,Ceftriaxone and beta-lactamase inhibitor,"['J01DD63', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3480,J01DD18,Cefteram,"['J01DD18', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3481,J01DD62,Cefoperazone and beta-lactamase inhibitor,"['J01DD62', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3482,J01DD54,"Ceftriaxone, combinations","['J01DD54', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3483,J01DD52,Ceftazidime and beta-lactamase inhibitor,"['J01DD52', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3484,J01DD51,Cefotaxime and beta-lactamase inhibitor,"['J01DD51', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3485,J01DD17,Cefcapene,"['J01DD17', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3486,J01DD16,Cefditoren,"['J01DD16', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3487,J01DD15,Cefdinir,"['J01DD15', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3488,J01DD14,Ceftibuten,"['J01DD14', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3489,J01DD13,Cefpodoxime,"['J01DD13', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3490,J01DD12,Cefoperazone,"['J01DD12', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3491,J01DD11,Cefpiramide,"['J01DD11', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3492,J01DD10,Cefetamet,"['J01DD10', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3493,J01DD09,Cefodizime,"['J01DD09', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3494,J01DD08,Cefixime,"['J01DD08', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3495,J01DD07,Ceftizoxime,"['J01DD07', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3496,J01DD06,Latamoxef,"['J01DD06', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3497,J01DD05,Cefmenoxime,"['J01DD05', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3498,J01DD04,Ceftriaxone,"['J01DD04', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3499,J01DD03,Cefsulodin,"['J01DD03', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3500,J01DD02,Ceftazidime,"['J01DD02', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3501,J01DD01,Cefotaxime,"['J01DD01', 'J01DD', 'J01D', 'J01', 'J']",False,1,1
3502,J01DC,Second-generation cephalosporins,"['J01DC', 'J01D', 'J01', 'J']",False,16,16
3503,J01DC52,Cefuroxime and beta-lactamase inhibitor,"['J01DC52', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3504,J01DC14,Flomoxef,"['J01DC14', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3505,J01DC13,Cefbuperazone,"['J01DC13', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3506,J01DC12,Cefminox,"['J01DC12', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3507,J01DC11,Ceforanide,"['J01DC11', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3508,J01DC10,Cefprozil,"['J01DC10', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3509,J01DC09,Cefmetazole,"['J01DC09', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3510,J01DC08,Loracarbef,"['J01DC08', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3511,J01DC07,Cefotiam,"['J01DC07', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3512,J01DC06,Cefonicid,"['J01DC06', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3513,J01DC05,Cefotetan,"['J01DC05', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3514,J01DC04,Cefaclor,"['J01DC04', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3515,J01DC03,Cefamandole,"['J01DC03', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3516,J01DC02,Cefuroxime,"['J01DC02', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3517,J01DC01,Cefoxitin,"['J01DC01', 'J01DC', 'J01D', 'J01', 'J']",False,1,1
3518,J01DB,First-generation cephalosporins,"['J01DB', 'J01D', 'J01', 'J']",False,13,13
3519,J01DB12,Ceftezole,"['J01DB12', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3520,J01DB11,Cefroxadine,"['J01DB11', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3521,J01DB10,Cefacetrile,"['J01DB10', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3522,J01DB09,Cefradine,"['J01DB09', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3523,J01DB08,Cefapirin,"['J01DB08', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3524,J01DB07,Cefatrizine,"['J01DB07', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3525,J01DB06,Cefazedone,"['J01DB06', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3526,J01DB05,Cefadroxil,"['J01DB05', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3527,J01DB04,Cefazolin,"['J01DB04', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3528,J01DB03,Cefalotin,"['J01DB03', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3529,J01DB02,Cefaloridine,"['J01DB02', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3530,J01DB01,Cefalexin,"['J01DB01', 'J01DB', 'J01D', 'J01', 'J']",False,1,1
3531,J01C,"Beta-lactam antibacterials, penicillins","['J01C', 'J01', 'J']",False,52,52
3532,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors","['J01CR', 'J01C', 'J01', 'J']",False,7,7
3533,J01CR50,Combinations of penicillins,"['J01CR50', 'J01CR', 'J01C', 'J01', 'J']",False,1,1
3534,J01CR05,Piperacillin and beta-lactamase inhibitor,"['J01CR05', 'J01CR', 'J01C', 'J01', 'J']",False,1,1
3535,J01CR04,Sultamicillin,"['J01CR04', 'J01CR', 'J01C', 'J01', 'J']",False,1,1
3536,J01CR03,Ticarcillin and beta-lactamase inhibitor,"['J01CR03', 'J01CR', 'J01C', 'J01', 'J']",False,1,1
3537,J01CR02,Amoxicillin and beta-lactamase inhibitor,"['J01CR02', 'J01CR', 'J01C', 'J01', 'J']",False,1,1
3538,J01CR01,Ampicillin and beta-lactamase inhibitor,"['J01CR01', 'J01CR', 'J01C', 'J01', 'J']",False,1,1
3539,J01CG,Beta-lactamase inhibitors,"['J01CG', 'J01C', 'J01', 'J']",False,3,3
3540,J01CG02,Tazobactam,"['J01CG02', 'J01CG', 'J01C', 'J01', 'J']",False,1,1
3541,J01CG01,Sulbactam,"['J01CG01', 'J01CG', 'J01C', 'J01', 'J']",False,1,1
3542,J01CF,Beta-lactamase resistant penicillins,"['J01CF', 'J01C', 'J01', 'J']",False,7,7
3543,J01CF06,Nafcillin,"['J01CF06', 'J01CF', 'J01C', 'J01', 'J']",False,1,1
3544,J01CF05,Flucloxacillin,"['J01CF05', 'J01CF', 'J01C', 'J01', 'J']",False,1,1
3545,J01CF04,Oxacillin,"['J01CF04', 'J01CF', 'J01C', 'J01', 'J']",False,1,1
3546,J01CF03,Meticillin,"['J01CF03', 'J01CF', 'J01C', 'J01', 'J']",False,1,1
3547,J01CF02,Cloxacillin,"['J01CF02', 'J01CF', 'J01C', 'J01', 'J']",False,1,1
3548,J01CF01,Dicloxacillin,"['J01CF01', 'J01CF', 'J01C', 'J01', 'J']",False,1,1
3549,J01CE,Beta-lactamase sensitive penicillins,"['J01CE', 'J01C', 'J01', 'J']",False,12,12
3550,J01CE30,Combinations,"['J01CE30', 'J01CE', 'J01C', 'J01', 'J']",False,1,1
3551,J01CE10,Benzathine phenoxymethylpenicillin,"['J01CE10', 'J01CE', 'J01C', 'J01', 'J']",False,1,1
3552,J01CE09,Procaine benzylpenicillin,"['J01CE09', 'J01CE', 'J01C', 'J01', 'J']",False,1,1
3553,J01CE08,Benzathine benzylpenicillin,"['J01CE08', 'J01CE', 'J01C', 'J01', 'J']",False,1,1
3554,J01CE07,Clometocillin,"['J01CE07', 'J01CE', 'J01C', 'J01', 'J']",False,1,1
3555,J01CE06,Penamecillin,"['J01CE06', 'J01CE', 'J01C', 'J01', 'J']",False,1,1
3556,J01CE05,Pheneticillin,"['J01CE05', 'J01CE', 'J01C', 'J01', 'J']",False,1,1
3557,J01CE04,Azidocillin,"['J01CE04', 'J01CE', 'J01C', 'J01', 'J']",False,1,1
3558,J01CE03,Propicillin,"['J01CE03', 'J01CE', 'J01C', 'J01', 'J']",False,1,1
3559,J01CE02,Phenoxymethylpenicillin,"['J01CE02', 'J01CE', 'J01C', 'J01', 'J']",False,1,1
3560,J01CE01,Benzylpenicillin,"['J01CE01', 'J01CE', 'J01C', 'J01', 'J']",False,1,1
3561,J01CA,Penicillins with extended spectrum,"['J01CA', 'J01C', 'J01', 'J']",False,22,22
3562,J01CA51,"Ampicillin, combinations","['J01CA51', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3563,J01CA20,Combinations,"['J01CA20', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3564,J01CA19,Aspoxicillin,"['J01CA19', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3565,J01CA18,Hetacillin,"['J01CA18', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3566,J01CA17,Temocillin,"['J01CA17', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3567,J01CA16,Sulbenicillin,"['J01CA16', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3568,J01CA15,Talampicillin,"['J01CA15', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3569,J01CA14,Metampicillin,"['J01CA14', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3570,J01CA13,Ticarcillin,"['J01CA13', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3571,J01CA12,Piperacillin,"['J01CA12', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3572,J01CA11,Mecillinam,"['J01CA11', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3573,J01CA10,Mezlocillin,"['J01CA10', 'J01CA', 'J01C', 'J01', 'J']",True,1,1
3574,J01CA09,Azlocillin,"['J01CA09', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3575,J01CA08,Pivmecillinam,"['J01CA08', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3576,J01CA07,Epicillin,"['J01CA07', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3577,J01CA06,Bacampicillin,"['J01CA06', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3578,J01CA05,Carindacillin,"['J01CA05', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3579,J01CA04,Amoxicillin,"['J01CA04', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3580,J01CA03,Carbenicillin,"['J01CA03', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3581,J01CA02,Pivampicillin,"['J01CA02', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3582,J01CA01,Ampicillin,"['J01CA01', 'J01CA', 'J01C', 'J01', 'J']",False,1,1
3583,J01B,Amphenicols,"['J01B', 'J01', 'J']",False,5,5
3584,J01BA,Amphenicols,"['J01BA', 'J01B', 'J01', 'J']",False,4,4
3585,J01BA52,"Thiamphenicol, combinations","['J01BA52', 'J01BA', 'J01B', 'J01', 'J']",False,1,1
3586,J01BA02,Thiamphenicol,"['J01BA02', 'J01BA', 'J01B', 'J01', 'J']",False,1,1
3587,J01BA01,Chloramphenicol,"['J01BA01', 'J01BA', 'J01B', 'J01', 'J']",False,1,1
3588,J01A,Tetracyclines,"['J01A', 'J01', 'J']",False,19,19
3589,J01AA,Tetracyclines,"['J01AA', 'J01A', 'J01', 'J']",False,18,18
3590,J01AA15,Omadacycline,"['J01AA15', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3591,J01AA14,Sarecycline,"['J01AA14', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3592,J01AA13,Eravacycline,"['J01AA13', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3593,J01AA56,"Oxytetracycline, combinations","['J01AA56', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3594,J01AA20,Combinations of tetracyclines,"['J01AA20', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3595,J01AA12,Tigecycline,"['J01AA12', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3596,J01AA11,Clomocycline,"['J01AA11', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3597,J01AA10,Penimepicycline,"['J01AA10', 'J01AA', 'J01A', 'J01', 'J']",True,1,1
3598,J01AA09,Rolitetracycline,"['J01AA09', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3599,J01AA08,Minocycline,"['J01AA08', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3600,J01AA07,Tetracycline,"['J01AA07', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3601,J01AA06,Oxytetracycline,"['J01AA06', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3602,J01AA05,Metacycline,"['J01AA05', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3603,J01AA04,Lymecycline,"['J01AA04', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3604,J01AA03,Chlortetracycline,"['J01AA03', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3605,J01AA02,Doxycycline,"['J01AA02', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3606,J01AA01,Demeclocycline,"['J01AA01', 'J01AA', 'J01A', 'J01', 'J']",False,1,1
3607,L,Antineoplastic and immunomodulating agents,['L'],False,662,662
3608,L04,Immunosuppressants,"['L04', 'L']",False,115,115
3609,L04A,Immunosuppressants,"['L04A', 'L04', 'L']",False,110,110
3610,L04AK,Dihydroorotate dehydrogenase (dhodh) inhibitors,"['L04AK', 'L04A', 'L04', 'L']",False,3,3
3611,L04AK02,Teriflunomide,"['L04AK02', 'L04AK', 'L04A', 'L04', 'L']",False,1,1
3612,L04AK01,Leflunomide,"['L04AK01', 'L04AK', 'L04A', 'L04', 'L']",False,1,1
3613,L04AJ,Complement inhibitors,"['L04AJ', 'L04A', 'L04', 'L']",False,10,10
3614,L04AJ09,Danicopan,"['L04AJ09', 'L04AJ', 'L04A', 'L04', 'L']",False,1,1
3615,L04AJ08,Iptacopan,"['L04AJ08', 'L04AJ', 'L04A', 'L04', 'L']",False,1,1
3616,L04AJ07,Crovalimab,"['L04AJ07', 'L04AJ', 'L04A', 'L04', 'L']",False,1,1
3617,L04AJ06,Zilucoplan,"['L04AJ06', 'L04AJ', 'L04A', 'L04', 'L']",False,1,1
3618,L04AJ05,Avacopan,"['L04AJ05', 'L04AJ', 'L04A', 'L04', 'L']",False,1,1
3619,L04AJ04,Sutimlimab,"['L04AJ04', 'L04AJ', 'L04A', 'L04', 'L']",False,1,1
3620,L04AJ03,Pegcetacoplan,"['L04AJ03', 'L04AJ', 'L04A', 'L04', 'L']",False,1,1
3621,L04AJ02,Ravulizumab,"['L04AJ02', 'L04AJ', 'L04A', 'L04', 'L']",False,1,1
3622,L04AJ01,Eculizumab,"['L04AJ01', 'L04AJ', 'L04A', 'L04', 'L']",False,1,1
3623,L04AH,Mammalian target of rapamycin (mtor) kinase inhibitors,"['L04AH', 'L04A', 'L04', 'L']",False,3,3
3624,L04AH02,Everolimus,"['L04AH02', 'L04AH', 'L04A', 'L04', 'L']",False,1,1
3625,L04AH01,Sirolimus,"['L04AH01', 'L04AH', 'L04A', 'L04', 'L']",False,1,1
3626,L04AG,Monoclonal antibodies,"['L04AG', 'L04A', 'L04', 'L']",False,17,17
3627,L04AG16,Rozanolixizumab,"['L04AG16', 'L04AG', 'L04A', 'L04', 'L']",False,1,1
3628,L04AG15,Divozilimab,"['L04AG15', 'L04AG', 'L04A', 'L04', 'L']",False,1,1
3629,L04AG14,Ublituximab,"['L04AG14', 'L04AG', 'L04A', 'L04', 'L']",False,1,1
3630,L04AG13,Teprotumumab,"['L04AG13', 'L04AG', 'L04A', 'L04', 'L']",False,1,1
3631,L04AG12,Ofatumumab,"['L04AG12', 'L04AG', 'L04A', 'L04', 'L']",False,1,1
3632,L04AG11,Anifrolumab,"['L04AG11', 'L04AG', 'L04A', 'L04', 'L']",False,1,1
3633,L04AG10,Inebilizumab,"['L04AG10', 'L04AG', 'L04A', 'L04', 'L']",False,1,1
3634,L04AG09,Emapalumab,"['L04AG09', 'L04AG', 'L04A', 'L04', 'L']",False,1,1
